"Date","Rev"
"on March 24, 2017","This is an amazing app, but every time advertisements play it either restarts or entirely crashes."
"on October 22, 2015","My daughter loves this app."
"on July 2, 2017","This is amazing"
"on May 12, 2017","Would be nice to be able to have some offline tracks for free, but I understand why you can't do that. Works really well on Kindle Fire."
"on February 17, 2015","Love creating my music library with Spotify! There's a fantastic selection to choose from. Would definitely recommend to any music lover."
"on December 27, 2014","I love that I can choose from a wide variety of music.and don't have to be locked in on a certain style"
"on December 28, 2015","My dad listened to spotify all the time, so I tried the free version (i have a fire tablet hd 8 edition 5) and have had no problem at all. You can download a lot of songs and listen to your own playlist, or somebody else's playlist. No more pandora for me."
"on January 26, 2017","Wish I could hold and drag songs/playlists to order/re-order like on the PC version but for my kindle. But that's nothing to lose a star over. Still the best out there."
"on October 26, 2017","Great app, has every kind of music that you like. You can find a lot of great songs that you would not have found before. Also you can listen to old music or new music."
"on August 28, 2017","Love Spotify❤️"
"on February 11, 2016","I don't know what to say. I'm a spotify fiend with a premium membership. I can hear anything I want and any songs that I happen to love, but the weekly discover playlist keeps me coming back because I'm incapable of finding new music on my own."
"on April 9, 2017","This is a very good app,I've used it for about 2 years now, my only issue is how often there's an ad but that won't stop you from singing in the shower!"
"on September 13, 2015","This app has the most variety of music available that I have seen in any app and it is so efficient. The playlists you create can be played offline as long as you have a premium plan which, compared to other music apps, are very affordable. I would reccommend Spotify for everyone."
"on August 15, 2017","My only choice for music listening"
"on July 12, 2017","This app is awesome Lalalala yay yay yay yay yay yay"
"on September 8, 2015","The app is great. Nice design and interface. It's easy to learn and a good service, but I would appreciate the same functionality between tablet and phone. I think it's a bit inconvenient that my phone/phablet doesn't have the same access to songs without shuffle, as a tablet does."
"on August 31, 2015","Spotify is great, and I do have a Premium account for greater mobile listening and no ads. My only complaint is that for unknown playlists (such as one I made) is hard for friends of mine to find unless I send them the playlist. Small complaint, and I definitely love using Spotify."
"on June 5, 2016","Simple and it works."
"on March 28, 2017","Best App for music ever"
"on October 15, 2014","There's a small issue I have a lot of times it will not allow tracks to be played or will say a track is playing, but I only hear silence. That and once it wouldn't let me share to Facebook (facebook specifically.) I haven't tried since. Great quality sound though, and I love the wide open variety. Wouldn't want an app that only has pop, rap and country :p love it"
"on November 27, 2014","I love the fact that this is free and our favorite music I shared spotify with all of my friends but here comes the negative thing tablets don't call out of state with a bid ass screen it should be music anywhere for free no internet. I rest my case ðððððððððððð"
"on March 2, 2016","I find that this app is better than others that I have tried. However it does seem to freeze up from time to time during songs changings I guess nothing is perfect. The download went fine with no hangups. Overall it's a good application."
"on August 26, 2017","I just love spotlight premium I don't have to listen to ads and interrupt my listening they have all the great songs"
"on June 8, 2017","I love all the premade playlists."
"on December 11, 2015","Spotify is my favorite music service. Way better than Pandora and other online radios. The ability to select and listen to any song I want is what puts it over the top! I can even listen to radio stations of my favorite artists if I want to. Thanks Spotify!"
"on March 29, 2017","It has all the music I need. Thank creator's"
"on April 7, 2016","I can listen to whatever I want and like when it comes to my favorites I can listen to them and I just love it and I get to block my teachers out in school while listening to music by Bryson Tiller trapsoul on this app thank you"
"on April 21, 2017","Works very well on my tablet and even plays while I play a game. Spotify premium is even better because there are no commercials and that is the best."
"on February 19, 2016","Has lots of popular songs, however I was disappointed that Taylor Swift wasn't on here. She is my favorite singer, so I wanted to hear her music. Otherwise, good music app. You can create your own public channels and playlists. I recommend"
"on January 18, 2017","A great music channel."
"on May 28, 2017","Love spotify! My go to for listening to music. The mobi!e version is more restrictive but it is still good."
"on June 4, 2017","Its awesomeness i love i can find all the music i really really like!!! I mean all music it a amazing app!!"
"on January 4, 2017","The best third party music player anyone could ask for!!!"
"on December 17, 2014","I love this app, it is pretty great. The only fault i have is that it says i need wifi to listen tothe songs ive downloaded unless i get the upgrade. When i go to get the upgrade there is none. So this makes me mad a lil bc ive already deleted my old music app. But other than that its a great app and i love the way you can organize the music!"
"on October 7, 2017","Have been a Spotify customer for years. Love being able to research and find songs and artists when I want to."
"on December 25, 2016","So far great all the music I love and can download and listen while at work, home, andon the go. I hope it does not change. We will see when I get back from Mexico."
"on August 15, 2016","Oh my ward I can listen to listen to any song I want to when ever I want to with premium BEST APP I HAVE EVER HAD I really thought it was to good to be a mith BUT ITS A TRUE 😄😄😄😄😄😄😄😄😄😄"
"on January 11, 2016","I don't pay but if you choose to, I think it would be worth it...I listen to it if I can't sleep, or if I feel stressed, or just want to listen to music ...Atleast try it, if you don't like it, you can always uninstall.. You have nothing to lose .."
"on April 26, 2017","A few too many interruptions for my taste,. But overall very good."
"on February 25, 2015","I love this music app. It's the best. It has so many choices. There's - browse, many genres to choose from, the radio and the best yet listen to entire albums. It's awesome. Get it. Or at least give it a try. And it's free. There are ads, but, so...not that many. There is the option to upgrade to remove ads and whatever else."
"on October 2, 2016","This app is literally my life I love it so much!! I use this app for all my music and I use it everyday. Even the free version is amazing!! This app is definitely the best for music!!"
"on October 3, 2014","LOVE THIS APP!! YOU CAN ACTUALLY HEAR THE SONG YOU WANT TO HEAR YOU DONT HAVE TO WAIT FOR IT PLAY LIKE PANDORA. ALSO YOU CAN REWIND, FAST FORWARD, AND START THE SONG OVER. SIGN UP IS LITERALLY LESS THAN 5 SECONDS. SUPER EASY TO MAKE YOUR PLAYLIST AND SEARCH FOR SONGS (YOU DONT HAVE TO MAKE A PLAYLIST TO LISTEN TO MUSIC THOUGH) LOVE IT, MY NEW FAVORTIE APP !!!!"
"on May 30, 2017","Great app!"
"on May 28, 2017","Best music app ever created in my opinion. Been a loyal subscriber for 5 years."
"on October 22, 2017","I love how it is free, there are minimal commercials, and how have millions of songs and the ability to make and share playlists and music, all at your fingertips."
"on October 1, 2017","Spotify has all the best music for every genre. All the new and all the best music can be found on this app, and you can even download it for off-line use! 11/10!!"
"on November 3, 2017","Love it ! Easy to use , my favorite is to browse new artists."
"on April 6, 2017","Has all the rock, even underground like HU!!!! Nothing is censored"
"on September 20, 2015","Group at ap"
"on January 9, 2016","This app is very useful, I love it! They give you a month or so of free premium. This app even helps youcfind new music! My only issue with this app is after your free premium, you can't listen to music offline without getting premium -Derpy"
"on October 16, 2017","I love this app. I have had it for years and it has been working excellent."
"on April 9, 2017","I love this app so much, and I am a kid my mom puts it on for her salon music it has all of the songs i know and more! GET THIS APP!!"
"on August 25, 2017","Awesome! Love that you can make your own playlists. Would be 5 stars if not for all the ads, but that's what you get with free stuff."
"on July 31, 2017","Very user friendly!!! Also, it has a vast collection of music to choose from."
"on June 7, 2016","This app is the best for listening to music. You can make you're own playlist and for the kindle fire HD there is a glitch that last you skip the songs without Premium. I totally recommend that you download it."
"on February 1, 2017","Is very good and very helpful for studying. I like that it keeps playing your music even if you exit out of the Spotify app. Could add more anime open is tho 🎌🎏"
"on November 28, 2016","I love this app, I really do. But I just have a song request. I would love it if you guys put the song Here Comes The Boom by Nelly. Otherwise GREATEST MUSIC APP EVER."
"on May 25, 2017","Awesome you can make your own 60's and 70's playlists. Great!!!!"
"on March 17, 2017","Great"
"on July 13, 2015","Spotting delivers the best of the best. It uses up to 320 mbps and has almost any song. It has offline mode for premium members and uses sweet quality. For families, each additional premium account is 50% off, same with students. Stop listening to Grooveshark and Pandora and get SPOTIFY! :)"
"on January 16, 2016","Love that I can download directly to my devices , unfortunately you have to pay for the feature, but the $0.99 for 3 months promo is a great deal! I Will gladly pay $9.99 a month afterwards to keep the paid benefits, which there area many of!!"
"on January 16, 2016","Great for listening to a variety of music. You can easily search, and find, just about any song or artist that you like, then Spotify finds similar music for you. Also has a ton of browser options. I like to pick my music by what mood I'm in."
"on September 22, 2016","it's like hitting the lottery, I am able to hear any song I want for the past 60 years, sometimes I want to listen to an old song and Spotify makes this possible, thank you Spotify!!!"
"on September 4, 2014","Sorry for some customers might crazy love Spotify ""CHOICE"", Yes, the Sporify APP is giving ""a list of genre"" followed by human mood. Those list looks fun and catchy, but my mood always change and lazy style of myself is not used to ""TELL"" Spotify company what time is my happy mood, what time is my sad mood. It is let the cat out of the bag!! Meanwhile, since download this app for 1 month, I only hit the play ONCE. Because my listen music style is ""basic"" as Pandora.  Hope my review is not what you looking for, if so, you might have a lot secret mood won't tell! Take care and hope you get the best music app from AMAZON!! Cheeeeeeer for everyday!"
"on July 3, 2017","I love this app sooooo much!!"
"on December 22, 2016","Good for relaxation. As a big music person I would give more stars if I could"
"on November 14, 2016","I absolutely love this app it has everything, songs and story's from all over the world indifferent languages you can even !earn a new language with this am ALTA😍😍😘"
"on July 22, 2015","This is the best music app"
"on August 23, 2016","Awesome app and such a great way to discover new music"
"on May 26, 2016","Way better than Pandora. Offers a lot even without premium. You have way more options with tablets or laptops. It's like having premium but free. Not the same story on a phone though. I highly recommend this app"
"on July 18, 2017","Great app. Love that it connects to FB and has a huge variety of music. Very affordable for the paid app as well. Love Spotify!!"
"on August 24, 2017","Amazing"
"on October 11, 2017","It's the greatest app ever you can make your own playlist and search any song and it is great for on the road if you have a hot spot."
"on March 28, 2017","Tried all music apps. Saving an entire album for free is priceless even with shufflke on."
"on February 2, 2016","Nice app for organizing music but don't like the idea that in order to listen off line need to pay for premium. Disappointing . I won't be paying 10 $ a month. Maybe once and done. Where can I find a free app besides iTunes thats free???"
"on December 14, 2014","I rather enjoy this music app. Is better than any other, in terms of variety. The ability to follow others and listen to their playlists tops the cake for me. I love me music, and listen to different styles depending on my mood. Only issue is that I am so very poor at remembering song artists, song names, etc.........this is a blessing."
"on August 23, 2016","What a great app! But I'm still waiting for Lemonade!"
"on August 23, 2016","its an amaing program, all the músico you can find!!!"
"on June 22, 2017","I am excited to have Spotify and to be able to choose whatever music I am in the mood for! Thank you."
"on May 1, 2017","I love Spotify. The only thing that can get a little annoying is they don't have some songs on there.."
"on June 19, 2015","I love this app, but it sends me 71 EMAILS EVERY DAY! One is 99 ways to listen to music, your favorite music based on your search history. Please only buy this app to listen to music! Don't sign in with your EMAIL unless you have to! I myself prefer RDIO It's a great app to listen to music to."
"on November 10, 2016","I have loved spotify since day one and it continues to get better. I would pick spotify over all the other music apps anytime of the year. 5 star keep being amazing"
"on July 30, 2015","I use my Spotify app for all my music listening, now. Very little ads. Has every song I've ever searched for... including little known indie artists and big name bands. Highly recommend! You can also put this on your Kindle and the music will play in the background as you use it."
"on December 25, 2016","I love this app so much you can get so much free music, it's really crazy. They have such much music. They don't have Taylor swift though, which kind of sucks."
"on May 13, 2016","Spotify often has new albums soon after their release. Also artist radio and topical playlists fit my folky/alternative preferences. Much of the content is available for listening offline with premium. I'm hooked."
"on August 1, 2015","I love everything about this app except for the premium. I bought premium at a great price of 99¢ for 3 months. But when I go to spotify when I'm in the car for example it says no internet connection and won't let me listen to music . So I pretty much bought premium for nothing."
"on September 6, 2017","I love how you can customize your list it not just a ""stations"" it's your music."
"on January 9, 2016","I love spotify. 20 times better than Pandora. You can rewind, fast forward songs. Make lists. Save songs, find SO MUCH NEW MUSIC, pick lists by your mood, or genre...and many many more. So glad I found this app. You will love it. Give it a try"
"on November 9, 2014","I love it. I cant even describe it in words and its free. I lets me repeat the song steal my girl by one direction.. awsome! ""She knows that im never going to let her down"" #Bestappever lalalala its a music lovers heavon and dream. THANK YOU SPOTIFY! Now its time to listen to midnight memories by one direction, bye see ya later guys"
"on September 12, 2016","The music is great! Just be sure to listen to your fav music cuz then you can make a playlist!!! I definitely reccomend this!👍👍👍👌👌👌"
"on August 7, 2014","While listening to opera the music is interrupted by musical commercials for contemporary music. Music sets a mood. The commercials are such a jarring clash of genres that it destroys the mood of the music. These interruptions are truly ill conceived. I doubt popular music listeners would appreciate their music being interrupted by musical commercials for the Met."
"on April 8, 2016","We received Spotify as a gift. Our kids had been recommending it to us for quite a while. Finally they gave us the Premium version. We love it! Listen to your favorites anytime, anywhere! We highly recommend Spotify!"
"on January 15, 2016","For someone like me who has eclectic tastes and listen to music based on moods this is perfect. I was told it as a good music service but I didn't want to try out of stubbornness but now I wish I had it sooner. Get the premium. It's worth it"
"on October 11, 2017","It is very easy to use."
"on October 6, 2015","Yes you can only use shuffle play on a mobile device if you're on the free version that's why I'm always listen to the radio but if you like or don't you have to try it on the computer it's totally different.  I believe Spotify completely earned five stars"
"on March 19, 2016","I love this app so much!!!! I was so happy to know that you get 30 minutes of uninterrupted music then you just have to hear 1 ad that is like 30 seconds then you get 30 minutes of uninterrupted music. Best app ever!!!!!!!!!!"
"on May 14, 2017","I would like to see less repeats of songs on stations during the same listening session. And actually removing thumbs down songs."
"on April 14, 2016","I use this on my Kindle fire. I love that I can see is to store my off-line music on my external SD card or on my internal storage. It's a great app and I'm very happy with it. Really enjoying my student pricing as well"
"on May 4, 2017","I enjoy the opportunity to hear the music I like."
"on May 21, 2017","When you do suggestions for a playlist with multiple genres you focus on one genre. Try and suggest songs for all the genres on the playlist :)"
"on November 12, 2015","Its awesome so much better than Pandora! But what would make it even better is if you added when concerts of your favorite bands are playing it would help people so much! And you would get less complaints about the ads! Hope you consider my idea thanks!"
"on January 3, 2017","Best music app there ever was!! Super easy to use and tons of music to choose from. Easy sign up and adding to your playlist is a breeze! Highly recomend😘🎤"
"on June 5, 2016","I love Spotify. I detest being forced to employ Facebook to log in. Myriad attempts, through Spotify, to correct the problem have failed. The software offered to eliminate Facebook adamantly 'thinks' my desire is to change my password, part of the process, but not the goal."
"on May 1, 2015","This app is awesome because I just feel better when I hear music so I love this app"
"on January 6, 2015","The limitations levied on mobile devices intended to manipulate premium purchase are excessive- almost rendering it unusable. But if you're using pc or tablet, spotify basic is great. A competitor is needed to save them from self inflicted alienation of their own consumers, adds and offline mode are incentive enough for premium."
"on November 19, 2016","Very good music app. Works well on my Kindle Fire HDX. Plays the music in the background while I preform other tasks. Nice selection of music and artists available."
"on January 3, 2017","This app is very good I get to listen to my favorite music when I have WiFi. However u need to get spotify premium in order to listen to music without WiFi."
"on September 15, 2017","I use this all the time in fact im listening tho music 🎶🎶🎶🎶right now"
"on February 27, 2015","Love this app. Iv found every song iv looked for with only one artist and one song exception. If I could have found those it would have been 5 stars. It's very user friendly and I love that it let's me get entire albums at one time or pick and choose individual songs. Definitely recommend this app for music lovers."
"on November 3, 2016","It's free. Commercial ever 30 minutes, and they have every stone by EVERY artist. Easy to navigate and create your own playlist too. Wish I found this 2 years ago!!"
"on May 31, 2016","Spotify is worth getting, it does take a while to set up a playlist, but I do have to recommend Pandora to find new artists then deffinetly get spotify so you don't get random songs you don't want to hear."
"on May 1, 2017","It has all the music I like love it"
"on May 3, 2017","Hope you download this app it is so cool and you can listen to all kind of music...💗💖❤👌👌👌👌👌"
"on January 12, 2017","Awesome! I love that I can find the songs I like and save them and listen to them whenever I want to. like Wisin, Brian Mayer, Daddy Yanqui, Sam Smith etc."
"on May 20, 2016","Love this free app, there are tons of new music all the time. Been with spotty for acouple of years and have no complaints with them. If you want no ads there is a fee, but spotfy doesn't hound you about it."
"on March 25, 2017","Ok"
"on September 7, 2016","Best app ever use this app everyday better that Apple music luv you spotify keep doing what your doing I'm listening to spotify while writing this review lol luv u spotify 💗💗💗💗"
"on May 7, 2016","I like being able to pick songs or albums to listen to. Creating my own stations is very important as I listen to it while I am at work. Depending on how your day is going can change what you want to listen to."
"on November 16, 2015","This app is pretty great let's you listen to any music you want. But it also plays songs that arn't on your Playlist but in the same genre. If you get the whole pack thing that you have to pay for monthly then they only play the songs on your playlist."
"on March 26, 2017","Excellent! Glad to have access to all music in one place."
"on February 12, 2015","Really great app, add your own specific music, listen to stations by the the artist or songs like pandora but smarter, and download music from spotify with a premium account. But one feature is that I wish you could pay for premium via amazom store, like a subscription. Other than that, its an awesome app for music."
"on August 13, 2015","Access to pretty much any song imaginable at the drop of a hat with a $9.99 Spotify Premium membership is a great deal in my mind. This replaces all my long lost CD's and for a fraction of the price of buying songs individually. Five stars for the service and the app itself."
"on July 20, 2017","The music streaming service ever!"
"on June 13, 2015","Wide variety of music."
"on February 28, 2016","First my parents got and I was like what's this, oh that's cool then my sis got it she loved it. So you known I decided to try it. IT IS AMAZING. all the music is free and you just add it and go. It's great I RECOMMEND IT!!!!"
"on September 3, 2015","I love spotify for when I am in a specific mood. I can put on my happy playlist when I'm happy, for example, and it sets the environment so perfectly. And it has all the classical music I need for when I'm studying! If I want something specific, Spotify is my go-to app"
"on August 15, 2016","This app has all of the songs you like and that you know"
"on September 4, 2017","I had trouble using the product. I seldom tried to use it, and finally deleted it from my phone."
"on January 17, 2017","Any song to add to a playlist when i want to just hook up to BlueTooth, blast it and drown out life...yeah, i couldnt give up Spotify for anything hardly"
"on January 3, 2017","love everything about my spotify!! its so easy from me to navigate! i never have any problems fining or getting to anything. Love ,Love,live my spotify!!"
"on September 1, 2015","Easy to use, all the songs I want are on there and all kinds of versions. The only thing I don't like is that when I want to test out a song to see if it's the right one it doesn't let me listen to it without downloading it. But it's still a good app. Two thumbs up! :)"
"on January 28, 2015","Spotify is the best download site for those who want a great site for downloading their favourite music. I have been using it to find my most wanted music and even music I haven't heard in years and I haven't been disappointed yet. I would recommend this site to anyone who wants the best music download site out there."
"on May 30, 2017","I love it because you get lots of more music"
"on October 26, 2014","Was very thrilled when I saw that Spotify had been made for a tablet, so I logged in on my Spotify account from my school laptop and saw all my music was there, but now that it has been a few days, it is being very annoying. You can't play music unless in shuffle mode. Unless you are tolerant of nonsense like this, this app is not for you."
"on November 7, 2016","I think this app is amazing. Its free, with only occasional ads, usually giving periods of ad free music. The app is also easy to use, and has many songs to enjoy."
"on May 30, 2017","It gives a playlist of different artists you like and let's you make a playlist of only songs you like.😜👌🏀"
"on February 1, 2017","It's a really good app"
"on June 20, 2017","Just got this, and it had all my favorite music for free unlike Amazon music, i am loving it.😍"
"on January 20, 2016","Works just as well as my iPhone app does. Spotify is an excellent music service at a low cost. Users are able to listen to a seemingly endless collection of music without Ads. It is a fantastic App that I use multiple times daily."
"on January 9, 2017","I love this app it's great im actually using it right as I type it's great and it works even if u shut down the iPad or turn it off u should tots get it"
"on December 25, 2016","I have nothing but praise for this app! I've had it for a year and have been completely happy with it. Awesome selection! Love love love the playlists!!"
"on November 23, 2016","Best ever, great!"
"on October 17, 2017","It's amazing hoomans"
"on August 16, 2017","Love the function ability. Easy to use. Good mix of radio stations"
"on May 3, 2017","Customize your own personal radio. Love it!"
"on January 20, 2016","Easy to use"
"on July 14, 2017","It's amazing I can listen to whatever I want even not on shuffle It is so good at hearing Harry styles and all the 1D songs and 1D people"
"on March 17, 2016","It doesn't give e you 30minutes of add free music I only play one song and then comes an add"
"on June 19, 2016","I practically depend on this app for my daily music needs, I am band trash (think of that what you may because I just went to emøtiønal røad shøw yesterday (June 18, 2016)) so hehe. But this app is absolutely amazing, waay better than apple music which is just a more expensive copy of spotify, spotify is free unless you want premium, but if you don't have premium and you play mudic on shuffle it actually gives good recommendations for songs, for example if you're listening to toxic by britney spears because you like that song or like me are in the phandom or something they won't play like my chemical romance after, they will reccomend like a song similar to toxic. I'm awkward just get the app."
"on July 26, 2016","I use it in other devices and the playlists are great!"
"on July 18, 2017","Great selection I like it a lot"
"on April 10, 2017","It is an excellent way to listen to music and podcasts."
"on August 23, 2016","Awesome app! Love the free version, but wish I could choose the song on my phone like I can on my computer. The ads are pretty few and far between. Pandora seems to have many more."
"on January 23, 2017","This is a great app to have when looking for different music"
"on January 9, 2017","This is literally my favorite app on this entire tablet! It has my fave a cappella group called Pentatonix! Totally 100% worth downloading!#HorseLover!"
"on November 8, 2014","Spotify is arguably one of the best things that ever happened for music listeners and one of the worst for music artists. Artists make next to nothing. We're talking 1/100 of one cent per listen. Do the math and tell me how anyone can live off that. The only artists who can survive are superstars who make all their money from touring."
"on March 27, 2017","excellent music"
"on September 24, 2015","I really like this app. It is very simple and easy to use. I would definitely recommend it to my friends."
"on June 20, 2017","Easy to find music."
"on July 30, 2017","Better than Amazon Prime Music Unlimited. [ Sorry, Amazon :-( ]"
"on August 17, 2017","I absolutely love this and am more than satisfied with the service!"
"on May 4, 2017","Never had so much music at my finger tips."
"on March 11, 2016","I have a 15, 12, and a 8 year old and they all use this app all the time they dont even use there ipod anymore they just download songs using this app, they all listen to the same music so they just share off each other"
"on June 12, 2015","my music my way"
"on September 2, 2014","This app has lots of great music however I'm in a dead zone so if I'm not in my house where I have Wi-Fi I can't listen to it which means running and other outdoor activities are very quiet. It tells me to update to premium so I can use it offline but when I search for the premium I can't find it. How can I update to premium if it's not available?"
"on May 7, 2017","Very useful and love the music because if you get premium than you can listen anywhere anytime"
"on August 31, 2015","Love it"
"on August 31, 2016","Lots and lots of music to put you in whatever mood you to be in, or get out of or got back in time and relive the good old days!!! Music is the message and music is the cure!!!"
"on March 24, 2017","I Love This App So Much Its The Best Music App. My Favorite Song Is ""Don't Wanna Know - Maroon 5"""
"on April 15, 2016","I love it I can listen to my favorite music for free💙💙👍👍👍👍"
"on December 22, 2015","Up the resolution/bitrate and this very good service can be great....I do love the wide selection and find the interface must easier to navigate than Apple`s offering.....always strive to improve the listener experience ....Spotify rocks!"
"on January 9, 2015","Allows you to listen to your music without a hassle"
"on February 25, 2017","Spotify is a very good app you get to find all of your favourite songs and music. You get to make your very own playlists even I rate this app 5stars."
"on March 13, 2017","Coolest app of all time for shure Great selection,you can make your own playlist. Defenently recommend it to anyone."
"on September 10, 2015","I love spotify but I really don't like the new update. I can't choose my own songs anymore. I have to shuffle and go in what it wants. Also playing songs not on my playlist. I liked it so much better before the new update. It would be a five if it didn't update..."
"on December 14, 2015","Apple is catching up to Spotify, but I'm sticking with this music service. Great music and one way to keep the industry from imploding. For me, Spotify seems to have slightly better transmission clarity and a more user-friendly interface."
"on April 14, 2015","Who doesn't love spotify?"
"on August 6, 2015","Thank you!!!! Nothing can replace Napster...well, except for Spotify. I tried the free version; I didn't love the commercial, especially while I was at work (they were condom commercials) Awkward!!! :) So I signed up for the premium version and I tell everyone about it."
"on February 14, 2015","I listen in the morning and afternoon at work. Great selection and I enjoy it better than the other like services. You can skip as often as you like and don't need to give a song a thumbs up or down. I enjoy the different selection and the updates so I'm not hearing the same songs over and over. It's worth it."
"on October 10, 2014","Totally recommend this app. If you Love music apps....you have to have this!!!!"
"on June 5, 2017","Love it"
"on June 9, 2017","This app is my ""Go to"" for music, so happy!"
"on January 14, 2016","This app is Awesome some because I lets you put your own music up here that you actually like to listen which is very cool to me...so yeah I really recommend you to get this app it really works very well and it also doesn't freeze like other apps"
"on February 26, 2016","Love it! I was dedicated to Pandora and now i cant go a day without opening my Spotify app. I tried Apple Music but I already have dozens of playlists and theyre much easier to create, add, and edit than with Apple Music."
"on June 12, 2017","Awesome app! Great for when your bored ! I'm in love with the app!!!💖💟💖💟💖💟💖 I recommend that you get this app!!!!"
"on June 14, 2015","Was nice but I went back to Pandora"
"on April 24, 2016","It's really good for my wide range of music tastes, easy to use, it also allows me to pick the song that I wish to listen to rather than just hope it plays on Pandora, and (in my experience) very little ads."
"on September 18, 2015","Ok well I love how it's free but it won't let me pick my song now I thing it's the update...and it's really annoying.like it will only let me do shuffle..."
"on May 23, 2017","Easy app to find all your favorite songs"
"on August 12, 2015","Spotify is a great app for anybody who likes music. It's got a massive selection of genres and artists for all tastes, and it's all free if you don't mind listening to a couple minutes of advertising every now and then. I've got the app on both my iPad and Kindle Fire."
