"Date","Rev"
"September 4, 2017","I am happy to hear some of my favorite tunes! Not so much for the commercials"
"January 29, 2014","I absolutely love this app. After getting your favorite groups and songs into and as playlists start telling it which songs you like and don't. As the Alger rhythm goes along the playlists start to become just about right on target for what you want. Only throwing in the odd song that makes no sense. Most definitely worth it."
"June 13, 2017","Would not let me sign up, never got to try it out"
"July 18, 2017","I love this app,I can listen to music that I like"
"September 29, 2017","love it.."
"October 13, 2017","wonderful way to add music to my day."
"December 20, 2016","I only wish there weren't commercials, but I understand that to get this free you need them"
"January 18, 2017","The app was not compatible with the Kindle I had - very difficult to finally figure it out."
"May 7, 2016","It's great to hear exactly the music I like without wasting time configuring things.  Discovering new artists and songs is also great."
"February 20, 2015","I love Pandora, but am sometimes frustrated, when a song isn't finished before it flows into the next one. I also get frustrated when the volume from one station is different than the next. One minute it's a nice volume, the next song is LOUD!"
"September 29, 2016","My favorite go-to music streaming app for probably going on a decade now, and still getting better and better."
"January 10, 2016","I love this app. I listen to music like all the time. I purchased the app for my Kindle Fire and it works great. Now I can have just the music I want anywhere in my house."
"January 20, 2015","App works terrific,awesome,but their is always one problem. When I go to another app or just go to the Internet. It wont let me change the song, to another track. I thought you could do that along time ago . Anyways I'll rate five if problem is fixed"
"March 29, 2016","It shuts its self off to much."
"August 21, 2013","Of course Pandora is great, but after one song plays, I have to unlock my phone and wait for the next song to load, or rather, a commercial and then the next song. Kind of inconvenient. And many more commercials than the regular version of Pandora. I don't mind listening to an occasional commercial now and then, but literally every other song is a bit much."
"July 11, 2014","I have been using Pandora since pretty close to when it first came out for PC. I got Pandora one a few years later...back then it was one of the only apps that did music streaming in the way it does, but even with newer services available from other companies. I still use Pandora . Love it"
"January 21, 2014","I love Pandora, great variety and super easy to set up stations. You can have multiple based on different types of music or mix all kinds of music together into one station. It is easy to change around stations as well just by adding new artists to the starting list for that station. Great to have on as background for work."
"February 21, 2015","Excellent! Love it."
"December 8, 2012","When I first listened to Pandora, I was impressed. They played the type of music that I enjoy. But whenever a song come on that I don't quite like, I just tell Pandora by using the ""thumbs down"" button. Then, I don't ever hear that song again.  I have gotten hooked on this app because it is like a personal radio. If you are a music lover (like myself) then you will love this free app."
"January 5, 2017","I love Pandora"
"June 2, 2016","Great music"
"October 15, 2016","OMG I LOVE PANDORA N JANGO ,THEY ARE BOTH GREAT, I LOVE MUSIC N THESE 2 STATIONS RATES A 5 CK THEM OUT."
"November 21, 2015","I've enjoyed Pandora for a long time!"
"April 25, 2016","Works like the Pandora on my phone! I downloaded it, fired up my smoker, and listened to Blues music while smoking dinner and drinking Tennessee Whiskey."
"August 12, 2015","Works as it should :)"
"August 23, 2016","Works great, exposure to new music with similar aspects of what you like. It's a great feature to expand your groove."
"January 28, 2014","I decided to give it another go. Works wonderfully now. Thanks for the fix, whatever it was. =)  This app worked awesome for the first cpl days I had it. Then it.froze and wouldn't load.......ever. I redownloaded the app, it worked for a day, then the same thing. It froze again. I gave up and went to I heart radio."
"February 2, 2014","I love the software. I have it loaded on my tablet, my Computer, my Laptop, My phone, My Blu-Ray player (Bedroom), My Smart TV (Living Room). I can set it for the one artist, or use the shuffle mode to play all of my favorite artists.  The only draw back is that the interfaces are very different on every device."
"November 2, 2017","I love Pandora radio."
"June 19, 2017","excelent"
"April 4, 2013","I love having music and a variety of it. I don't buy cds or anything anymore and the regular radio plays too much of the same things or have too many commercials/talk shows. I may have the free version but the commercials really are not intrusive and I can easily look over it. I like to be surprised with songs that I love but may not have heard in awhile or didn't know who did them."
"April 29, 2016","I dont really like the app.it doesnt give me music I want it putsusic like that I really recommend getting spotify Ii lets u get the music u want"
"December 31, 2016","Love Pandora music, just a bit annoyed by pop up ads, but use to it and usually ignore it."
"January 18, 2017","Super. I love all the songs in my chosen category. Hope you have one in the philippines!!!"
"May 3, 2016","I really like it when it will play, but it stops after it's been playing for 10 minutes and then it plays for a few seconds and shuts off again."
"May 11, 2016","this is amazing! I get to listen to all my jams, the only thing I don't like is the ads. it disrupts my music. but other than that. I live it!"
"April 30, 2015","I have Pandora on my phone, on my Fire TV stick, and on my Kindle. I use it everywhere. I use it on my phone, when I travel, to avoid having to find a good radio station. I use it on my Fire TV stick while I'm cleaning or cooking. Using the sleep timer on my Kindle, I can play one of my ""sleeping"" stations, which helps me fall asleep quickly. This is the best thing since iPods, for me."
"December 28, 2014","I'm sorry but I recommend iheart radio. It is so much better. Pandora always freezes when I want to hear a song advertisements pop up and end clicking that instead of a thumps up or down. Iheart radio is simple and easy. But then again it's not my choice"
"May 26, 2016","So far I'm very happy with it but I am brand new to it too so I will hold out to give it 5 stars until I've had a chance to really use it!"
"December 9, 2016","I enjoyed the music very much and would recommend Pandora for all music lovers. It is great."
"December 30, 2015","Its a good app, but cant get it to where I can have my profile picture on it, does anybody know how? It shows the facebook thing but everytime I log in it still wont let me"
"February 6, 2016","Listen to this on a regular basis. It's not perfect, but can't be beat for the price - free. A couple of 10 second commercials every hour are not a problem for me."
"June 21, 2017","Love the ability to create channels"
"June 25, 2017","Good mix of music and very limited commercials."
"July 22, 2017","Love it"
"August 4, 2017","Love it"
"December 31, 2016","We love having the choice to continuously play the stations we love without interruption."
"December 31, 2013","Pandora is my first app on my new kindle fire HD and i absloutely love it! Awesome music, awesome choices!!"
"December 28, 2014","Just getting started with Pandora. So far I really like it, but have only scratched the surface. Got an IHome wireless speaker for my Kindle Fire HDX so I can not have music I like wherever I like. There are commercials, but are not terribly annoyin."
"February 5, 2014","I have been a Pandora user for quite some time. I use it on all my computers at home and at my office. I appreciate the fact that I can input the artists and style of music I prefer. If something is played I would rather not listen to again I can input that fact. I can listen to my playlist randomly, or select a particular artist/style to play. I recently upgraded to a Kindle Fire HDX, and can now play music while I'm reading or anything else I may be doing on the Kindle. I have tried several other downloadable music sites, and have found Pandora to be the most versatile and have the greatest choice of music as well as being the easiest to use."
"January 1, 2015","awesome"
"August 16, 2017","I love hearing my favorite tunes."
"February 4, 2013","Panadora is one of my favorite FREE apps. I use this app all the time when working out, and I love the variety of music they have for free on here! I just downloaded this to my Kindle as my son loves music and now he can listen to it on the kindle as well! Other than the ""Pop and Hip Hop Power workout"" station playin OLDIES (not sure why this is) I have no issues and love Pandora!"
"November 10, 2015","Pandora is a great app for music play. Upside is that you can create any list you want .... down side is that there is not enough different music added to your selected playlist type."
"September 13, 2013","This is really great sound. What a concept! Just start a station off and it keeps adding same genre songs. Tired of that genre, start another station off and it keeps building, too. Tomorrow want some of the same, then maybe something different, start another station, or start an old one. Thumbs down those songs you don't want and they are gone. Thumbs up those to tweak the selections of the future songs. Great deal, and no advertisements. I definitely recommend!"
"February 16, 2016","I like the service but find the app not very intuitive in terms of use. Perhaps a link to instructions on how best to set up your own channels would be helpful."
"December 10, 2012","I guess that's the point of free versus subscription service, but the commercials have become more frequent and more intrusive. Before they used to be just quick announcer-based commercials, now they are full blown professionally produced commercials just like you would hear on commercial radio. They are very irritating, to say the least."
"May 16, 2017","Just love it"
"June 2, 2016","Very good"
"April 25, 2016","Every song I choose or radio artist..Is awesome..Its great to hear songs you remember as a Rockin young person,and is just as fun now to listen!"
"October 22, 2013","I have Pandora on my iphone and my laptop. I love listening to what I want while I'm cooking dinner. It's a great app."
"December 3, 2016","at first it didnt work right, cork left in bottle, however now it works perfectly. love it."
"August 24, 2013","I've only had this app for a week and already problems! Worked like a charm until I had it exactly one week then it refused to load further than the blue Pandora screen! I completely removed it deleted the purchase and downloaded again for it to only do the same thing the next day! I hope this is just a bug that can be worked out because I love Pandora!"
"January 31, 2016","I have reinstalled Pandora several different times on my Kindle Fire and I still cannot get it to play, whether it's Bluetooth or not. Is there a trick to this????"
"July 20, 2016","I have been using Pandora Radio for years, I love the stations I have created and I'm always surprised at the song choices they suggest, hidden treasures or forgotten favorites!"
"December 15, 2016","I enjoy the selection of music gendra. I turn on Pandora and listen all day to the music"
"January 14, 2013","I use the app all the time. Works great on my phone and Tablet. Can't live without it! Easy to install and free!"
"November 17, 2012","Pandora app is the best! If you love music and you simply want some relaxation music or want to get up and dance, Pandora has it all. The sound on the Kindle Fire HD is simply a knock out. Cannot believe that sound comes out of that thin piece of amazement!!!! Truly, I recommend getting the full version of this app. It is not much and is totally worth it.  Thanks to Pandora and amazon.com."
"March 29, 2013","I have the free version. Every now and then it asks if you are still listening and/or you hear a few ads, but I don't find it annoying enough to upgrade and pay monthly for it. The genre picked does tend to play the same songs over and over, but there are many options to choose from and change the genre playing to change up the songs whenever you want. Can't beat it for free!!??"
"June 3, 2016","Good App"
"February 6, 2015","Works as expected"
"May 18, 2016","I absolutely love Pandora! We are constantly playing it in my home when it is time to do some housework...and I play it at work some too."
"September 19, 2016","I have been listening to Pandora fr years now and the mix is great. I have approximately 20 channels defined."
"May 26, 2016","I love that I get to listen to whatever I want whenever I want. The music quality is as good as I want to make it. PANDORA is EXCELLENT!"
"August 1, 2015","Stopped working immediately and had to call Pandora. Next use was equal to one song at a time. After screwing with it for way too long, just changed to a different streaming program. What a waste of time"
"January 31, 2013","well you cant go wrong with Pandora in the first place. Awesome music, the lyrics to sing by and easy to use"
"August 1, 2015","Being able to pick ""stations"" for your favorite music means very little you dislike, though Pandora limits the number of pieces you can skip through, and there are ads unless you pay to avoid them."
"September 27, 2017","I Love It !!! Listen all day at work, makes the day a whole lot easier !!"
"May 23, 2017","I want to cancel the subscription to stop the payment and it won't let me"
"March 20, 2013","This app has always made advances with internet radio and doesn't disappoint. It's very rare that there are issues with the app or the connection (as long as you have a good WiFi connection of course). You can set up your own channels and listen to everything from rock to classical to comedy bits.  An excellent app that everyone should have, in my opinion.  -D"
"November 29, 2016","Love using Pandora. It has great variety and I am able to even hook into it on my cable box."
"March 10, 2016","Really wonderful that is adapts to play music that you like. The only problem is it has loading problems. It can take a long time to start the next song."
"January 29, 2017","I am a big fan of Pandora and listen to it often. The app works very well.and was free."
"January 23, 2017","Fun to create your own ""stations"" and Pandora does well in selecting the tunes."
"January 1, 2017","This App was installed on the daughter's new 8"" Fire HD and she likes it very much."
"January 5, 2017","Love Pandora, hate the still listening and ads but I just too cheap to upgrade, Oh well"
"August 24, 2014","The music I want to hear...free. :)"
"January 23, 2014","I have just applied Pandora and really do like it. I plan to utilize this item to a great extent."
"January 8, 2014","Always enjoy my Pandora. Now that I have a mini Bose blue tooth speaker it's even better. I listen tall all my favorite channels at home and now at work. I have the premium Pandora with no commercials. It's wonderful. Mozart to Joe Walsh to Muddy Water. What a way to listen to uninterpreted music all day long."
"February 20, 2016","I love my Pandora, it is the best next to amazon music... I use it all of the time, it helps me when I am cleaning keeps me going... Wide variety of music..."
"November 22, 2016","Four stars because of advertising, would be better without ads and no charge to remove them !"
"November 15, 2015","Pandora is overall a great listening station. I mean, you can't get any better than free. Even better, every device linked with one account will share the same stations. If I had one thing to say, it's the ads. About 2 of them come on every 2-3 songs. And considering the fact that the same ads play all the time, it can get quite irritating. Great app though. :)"
"October 22, 2015","You don't get something for nothing. This works but I've read that it enables personal information to be sent to the company about your habits, contacts, pictures, etc. I took it off."
"February 27, 2014","Awesome app. Really wish the kindle version didn't take off the sleep timer though. I miss that feature, can't fall asleep to the music anymore because I have to wake up to turn it off. Sigh. Other than that I love this for everything else. Music is in everything I breathe and Pandora almost always plays my moods."
"July 18, 2017","I love me some PANDORA would not change for anything unless it's better."
"April 16, 2014","So enjoy the variety and easy of use. I carry it with me and it helps me keep working. Thanks!!!!"
"November 3, 2015","Last update does not allow you to stop playing your music, stop playing, skip a song, nor like or dislike it unless you are inside the app. Plus it stops playing by itself randomely."
"July 18, 2017","Don't know they would not except my account."
"August 24, 2017","Good"
"April 7, 2015","Pandora is awesome. It is free music. Type in a song, album or artist and you get that plus similar music. And its all for free? I use it for Moon Hooch and Mickey Avalon radio. Better than radio, satellite and Youtube for music."
"February 25, 2015","The app does what it is meant to, open a direct link to your Pandora account. It doesn't do anything else because it doesn't have too. You could accomplish the same effect by creating a short cut, but I find this slightly more convenient."
"July 14, 2013","This was my 1st app on my new KFHD & I love it. The device has good speakers & w/Pandora you can program your favorites. Wish there were no audio ads but the app was free so why complain?! I had to go to Amazon's Kindle support to figure out where it was on my KFHD once I downloaded it but that's not the fault of the app. Pleased to have it & esp at no cost."
"August 29, 2013","I love the pandora. It's easy to use and works great. I would yell anyone that ask me that they will love it."
"August 24, 2014","Greatest ever"
"September 17, 2015","Really enjoyed the new app, as my wife has been using Pandora for years now. I love the various categories of music which allows you to play tailor towards your favorites. I waited too long."
"January 1, 2015","I love their service of providing super music all the time. I love these dedicated stations of mine. The three main ones are early classical (when I'm working), piano jazz when I'm doing light tasks and driving, and classical guitar while dining."
"September 13, 2016","Constant good music, always accessible, for all occasions! Makes it enjoyable to listen all day a and night."
"April 8, 2016","I liked the music but it took over my phone and would not let me turn it off. I had to contact mayday to fix it, then I removed it from my phone."
"May 2, 2017","Not available in South Africa, such a pity!"
"March 28, 2014","Music is great, but nothing in life is free. A few to many commercials. Some times I struggle to find stop button. They call it quit"
"December 9, 2013","Pandora has become my go to place to experience new music. I'm still old school enough to find an artist I like and then buy the CD (soon I'll be buying the vinyl). The Pandora app runs great on my Kindle Fire, so now I find myself doing more ""music research"" when laying in bed before I turn the lights out for the night."
"January 31, 2017","Although I basicly stay on one channel it is awesome, they always play the best songs"
"December 31, 2014","I enjoy listening to the mix of music that happens as Pandora interprets my likes and dislikes. It is very easy to use, easy to pick your own type of music, and easy to say 'I don't like that' when something is introduced that grates on my nerves."
"December 29, 2016","It used to be a lot better. They still play good music but have too many commercials"
"January 7, 2017","I guess after you get good with it, it may be good. Until then it is quite difficult."
"September 5, 2016","Pandora used to be good, until they added strict limits on how many songs you could skip during the whole day and shoved a commercial down your throat every other song. There's way better options out there."
"June 3, 2016","Great"
"December 7, 2013","It works for me. I love it. I live in an apartment building and my neighbors say they hear Pandora coming from my apt. and love the music. Some also use it. I'm 66 years old and find it difficult to listen to my car radio. There is less music on the car radio then ever before. I like having choices and with Pandora you do."
"January 28, 2014","I like that I can select the songs and artists that I like to listen to, and I can give songs it ads that are similar a thumbs up or down. Also I can listen to Pandora while I play games on my Kindle fire. Thanks to my grandson for telling me about Pandora as he also uses it, and he showed me how to use it. Love it."
"July 7, 2016","Love this app. I know its been around for years now but I just decided to check it out. Love customizing my own stations."
"April 1, 2014","I enjoyed using this program until they raised the price of the service. It is a one of a kind program because I could develope the music folks I listen to most offen. Now I just stream the general music I like. The Pandora music program is still free to use but with advertising coming on every so often."
"October 9, 2013","I didn't realize how much I would enjoy the Pandora app. I carry my Kindle from room to room or out on the porch and have constant, great music that I like. No more tuning in a radio. Really like that it identifies the artist - there are songs I've heard before but didn't know who was singing. Just this app alone makes the Kindle worth it!"
"June 8, 2013","I like this very much. Its a little hard to figure out how to work it. Are there any instructions? Don't know where they are. But the fact is once you get it started, its really terrific. The music fits my choices exactly. They know what I like better than I do. Very enjoyable on my Kindle Fire. Nice to make good use of really good sound on the Kindle Fire."
"August 8, 2015","Thank you for fixing. We are going back to 5 stars. PANDORA!!! Have you even noticed the comments since your last update? Hope you are working on a fix. Thanks for bringing me music before that."
"January 7, 2017","love it so far, still trying to learn what it can do and understand how to do things"
"July 22, 2015","I Downloaded Pandora on my Kindle and instantly fell In love. I work on the beach and this is my go to app for music from every genre. I love how it let's you create your own station. At anytime you can pick up my Kindle and Pandora will be on."
"December 31, 2015","This is my favorite music app everrrrr I use it all the time, LITTERALLY. 😃 I recommend this app for anyone looking for a free, good working, efficient app!⭐⭐⭐⭐⭐"
"March 8, 2016","For Christmas, 2015, I received a great gift of a Kindle Fire tablet, as well as a really nice headset.. I recently discovered Pandora and was very pleased with the site. I e;njoyed exploring Pandora and setting up ""stations"" for future listening. I am most impressed with the classical selections on Pandora. I know I will come back to the site over and over to see what's new."
"November 5, 2015","We listened to Pandora all the way from Oregon to Palm Springs instead of Sirius. It was absolutely amazing and so enjoyable. And let's not forget how much less expensive it is."
"July 18, 2017","Outstanding program !!!!!!!"
"June 21, 2016","I love Pandora. It allows me to listen to all the music I like whether on one station or several stations. Absolutely love it."
"March 12, 2016","I Love it! I listen to it all day at work and just recently downloaded it to my phone. I can pick the music I feel in the mood for. 5 stars from me."
"January 27, 2016","Pandora is a great app, although I prefer I Heart Radio, as it doesn't need Wi-Fi. I am able to create stations and playlists of my favorite music, which allows me to simply click on my favorite Irish playlists, and hear my favorite drinking songs! I love this app!"
"August 22, 2017","So far so good with setting up, selecting, and playing."
"January 1, 2014","In the short amount of time I spent on Pandora the first time, I was able to find a mess of songs and artists that I enjoy. Now I just need the time to go back for more. I couldn't find my favorite Christmas CD at home, but found some pleasant music to listen to on a very snowy holiday complete with a crackling fire !!!"
"May 23, 2017","Says ""unable to play music"" ALL the time. Vary disappointed."
"November 20, 2015","I live this .. I don't listen to the radio very much but this is wonderful to have. I can determine what will be my regular songs & what will be the songs I don't want to hear"
"August 5, 2016","Love, love, love having someone else choose music for me. I pick a style I want to hear, and Pandora does the rest."
"March 24, 2013","One of the main reasons for buying my Kindle Fire was so I could listen to Pandora in my house through my stereo and also out in my shop through another stereo. It works very well. It is not quite as user friendly as the one on my Macbook but I think with a little time I will learn new tricks and shortcuts. I am very happy with it overall and very grateful to get it for free."
"September 13, 2016","Almost anything you want. Even ...Mother's of Invention...best part.. No messing around start it ,it plays"
"September 6, 2017","Avail on many devices. Good selection of stations. Easy access. So far no problems."
"September 11, 2017","Overall - Great. Could use a little more material. Start to hear several repeats."
"August 3, 2015","Good music, like being able to select favorites and skip songs, but the ads are loud and annoying. I use this to play lullabies to my daughter and inevitably a commercial will come on and wake her up."
"January 3, 2015","Really happy with this app. Add stations then shuffle, couldn't be easier to customize the music."
"December 2, 2016","I enjoy having music that I create playlist stations for at my disposal. Love this app!"
"April 16, 2015","Awesome app. Free version works great. If you don't mind the commercials every now and then, I see no reason to purchase the paid version. Great for getting to know similar or new bands that relate to bands you already know."
"December 26, 2015","This is technically an app but this is amazing if you like music and if you're always busy and want to listen to music when you're doing something.... I LOVE THIS APP"
"September 4, 2017","Love the selection of music"
"May 4, 2017","excellent music. use a lot."
"May 9, 2014","I'm sorry that I couldn't make this any better but it doesn't do what I thought it was supposed to do. I wanted to make a play list with an artist. But all this would do is play one selection by the artist and then it started playing other artists that I never heard of...not for me any longer..."
"March 7, 2014","I have had a Pandora account for a longtime but had not used it in quite a while. When I downloaded it on my new Droid XX, I found it very annoying because the ads out number the music. I found the monthly fee to avoid the ads to be twice as high as it should be. In the past I paid $15 for a subscription."
"January 18, 2013","Great site with extended and complete information about songs and artist. Unfortunetly too much advertisment, but the service is excellent."
"October 15, 2016","Like it a lot lots of music choices and really easy to use very happy with it don't change a thing"
"March 18, 2014","This is an awesome App to purchase if you are looking for a music App that learns as you check whether you like the song it plays at the time. You can create individual band name folders and click thumbs up or thumbs down to make your selection for that individual band you have named each folder you are listening to. It learns as you make your selections and narrows the music it plays until it eventually plays nothing but the band name you picked for each folder. If you want to narrow your search even more you can create folders for specific album names for the band you select. I very highly recommend this App."
"March 16, 2014","This service replaces my XM radio. Preferring to go ad less I have tried the 1 month free trial and will continue based on my experience so far . I have created my own stations and tuned in the stations created by genre. These have been very satisfactory. Even paying for premium service it is less than Xm."
"April 17, 2014","I thoroughly enjoy listening to Pandora. I can listen to any of my favorite artists anytime, anyplace day or night. It is such a great way to carry my favorite music with me anywhere. Get on board. Its' a must have.!!"
"June 24, 2016","I am a music lover. Pandora plays great music based on your choice of performers. Songs played that I hadn't heard in years."
"October 22, 2016","Pandora carries most of the music selections I like and the commercials/advertisements are short"
"February 16, 2015","Love it..."
"November 5, 2014","I used to have Apollo (Pandora Radio Client) on my Blackberry playbook and got used to it especially it got no advertisement. Now with Pandora I got the same good music but ads are there. It works great on my Blackberry Passport and I highly recommend it."
"April 26, 2013","This is a great app for those who love music. Works great on any device and I is easy to use."
"January 3, 2017","NICE TO BE ABLE TO CHOOSE WHAT I LISTEN TO!"
"December 1, 2012","I use this app on all my devices and I bought a polaroid 8 in tablet for both of my children for christmas. I decided to open one to test it out and this app doesn't work. It loads but never plays the music. It just constantly changes the song and never plays. I deleted and re-downloaded the app and the same thing happened. I will open the other tablet on christmas and see if it works then."
"July 29, 2017","It doesn't offer what I thought it would"
"June 14, 2016","I like the idea of selecting my own music. It is free. If I like an album I can buy it on Pandora. The variety is outstanding."
"November 2, 2017","I love it you should try it so time all it need in a phone and it is easy like 123"
"January 24, 2017","Pandora has my music choices and really like to send it on the bluetooth speakers."
"January 14, 2014","I bought this by reading the great comments and every single time that I login and just keep it on I actually try to just click it and when I do it says loading and it won't go on. Multiple times I download it again and it works the first time and after that it does the same things. This is now my 7th time getting it."
"August 14, 2017","Great station"
"September 18, 2014","A big fan of free radio. Could do with less commercials, but I love the customization options it offers. One bug fix I would love to see though, is that on the Kindle Fire HD it won't work with other apps open, even the Silk browser. Other than that, it's perfect!"
"August 15, 2014","We love the variety of music and the ability to choose genres."
"June 26, 2014","Decided it would be easier to take my music with me this way versus a radio. Downloaded the free app and listened to it on 3 nights to fall asleep with my country music. I already have it on my Android smartphone but it drains my battery when I use it on there. It works fabulously."
"April 22, 2013","Love pandora as a service and use across other devices as well, but this app needs to be smoothed out for the kindle fire HD. It often won't shut off (or become mute) when closing the cover, and it also hampers the use of other apps while running simultaneously.  It's free, and I trust they'll work out the flaws eventually. Until then it gets three stars..."
"March 29, 2016","Listen to every day. Use the alarm clock to wake with music"
"July 18, 2016","Love my Blues entertainment every night and playing it with my guitar."
"December 31, 2012","I have an ecclectic taste in music and love my Budha Bar station and chill stations as well as, my New Age Instrumental and other things as well, like Ambient, Dance Electronic or Smooth Jazz. such good stuff!  I am a soft skills and technical trainer and play Pandora during my participants breaks and through lunch. The class often asks about the music and where can they get it!"
"December 9, 2014","Love the convenience and variety. Wish site was easier to navigate however perhaps it's just me. I have an old I pod on a player that now thanks to Pandora provides all the best music in my sewing room where good radio reception was not available."
"November 25, 2015","Pandora is awesome and you can put it on any device that you own. It is the 'boombox' of 2015. Love it and it brings the past music era's into the here and now. Love it!"
"June 14, 2015","I use it every day, on my phone and on my computer at work, but it's gotten to the point where the ads are getting to be too much. I briefly considered going to ad free listening. But last year it was $3.99 a month, and now it's bumped up to $4.99 a month. Uh... no thank you."
"June 8, 2015","I love Pandora.. The fact that I can choose what I want to listen to and subscribe for commercial free music for such a cheap price is awesome... Satellite radio is expensive and you don't get to choose anything"
"January 24, 2016","This app is completely useful instead of having to go on YouTube and searching for your favorite song I guarantee your favorite song will come on with Pandora"
